shpID,venCompanyName,OrderNumber,LineNumber,Quantity,Barcode,pdCode,OrderLineDescription
53569,INSPIRED BY DESIGN INC,929241,1.2,1,CON10524361,TUK-STAIN,Wax Stick and Stain Marker Set
53569,TALLGRASS KITCHEN AND BATH,931569,1.1,1,ICN34490952,B9FHDL,Base w/ Full Height Doors
53569,TALLGRASS KITCHEN AND BATH,931569,1.2,1,ICN34490959,B27FHD-2B,Base w/ Full Height Doors
53569,TALLGRASS KITCHEN AND BATH,931569,1.3,1,ICN34490960,BD27-3,3 Drawer Base
53569,TALLGRASS KITCHEN AND BATH,931569,1.4,1,ICN34490961,BC9FHD-SP,BASE FHD PULLOUT WITH SOFT CLOSE
53569,TALLGRASS KITCHEN AND BATH,931569,1.5,1,CON10556784,FINTK,"Finished Veneer Toe Kick 96"" length"
53569,TALLGRASS KITCHEN AND BATH,931569,1.6,1,ICN34490962,W2739-2B,Standard Wall
53569,TALLGRASS KITCHEN AND BATH,931569,1.7,1,ICN34490946,W2739-2B,Standard Wall
53569,TALLGRASS KITCHEN AND BATH,931569,1.8,1,ICN34490947,W3021-2B,Standard Wall
53569,TALLGRASS KITCHEN AND BATH,931569,1.9,1,ICN34490948,W1239R,Standard Wall Cabinet
53569,TALLGRASS KITCHEN AND BATH,931569,1.10,1,ICN34490949,WER2439R,WALL EASY REACH
53569,TALLGRASS KITCHEN AND BATH,931569,1.11,1,ICN34490950,W1239L,Standard Wall Cabinet
53569,TALLGRASS KITCHEN AND BATH,931569,1.12,1,ICN34490951,W4539-2B,Standard Wall
53569,TALLGRASS KITCHEN AND BATH,931569,1.13,1,ICN34490941,REPU2493-13/4L,Refrigerator End Panel
53569,TALLGRASS KITCHEN AND BATH,931569,1.14,1,ICN34490953,W3621U24-2B,Refrigerator Wall
53569,TALLGRASS KITCHEN AND BATH,931569,1.15,1,ICN34490942,REPU2493-13/4R,Refrigerator End Panel
53569,TALLGRASS KITCHEN AND BATH,931569,1.16,1,ICN34490954,BD27-3,3 Drawer Base
53569,TALLGRASS KITCHEN AND BATH,931569,1.17,1,ICN34490955,B27FHD-2B,Base w/ Full Height Doors
53569,TALLGRASS KITCHEN AND BATH,931569,1.18,1,ICN34490956,BER36R,Base Easy Reach w/ Shelf
53569,TALLGRASS KITCHEN AND BATH,931569,1.18.1,1,CON10556782,FINISH END L,Left Skin - Depth:24.00 Height:34.50
53569,TALLGRASS KITCHEN AND BATH,931569,1.19,1,ICN34490957,BS36-2B,Sink Base
53569,TALLGRASS KITCHEN AND BATH,931569,1.20,1,ICN34490958,BD21-3,3 Drawer Base
53569,TALLGRASS KITCHEN AND BATH,931569,1.21,3,CON10556783,FINTK,"Finished Veneer Toe Kick 96"" length"
53569,TALLGRASS KITCHEN AND BATH,931569,1.22,2,CON10556787,SCRIBE,Scribe Mould @96
53569,TALLGRASS KITCHEN AND BATH,931569,1.23,1,CON10556788,TUK-PAINT,Wax Stick and Paint Marker Set
53569,Greenwood Cabinets & Stone Inc,932774,1.1,4,CON10571688,LOOSE DOOR NR,"Loose Door - not routed for hinges - Width = 13.75,Height = 38.875"
53569,Greenwood Cabinets & Stone Inc,932774,1.2,1,ICN34536665,W1539L,"Wall Cab. 15""x39"" - Left"
53569,Greenwood Cabinets & Stone Inc,932774,1.3,1,ICN34536673,W3039,"Wall Cab. 30""x39"""
53569,Greenwood Cabinets & Stone Inc,932774,1.4,1,ICN34536661,W3039,"Wall Cab. 30""x39"""
53569,Greenwood Cabinets & Stone Inc,932774,1.5,1,ICN34536662,W3039,"Wall Cab. 30""x39"""
53569,Greenwood Cabinets & Stone Inc,932774,1.6,1,ICN34536663,WAE1239R,Wall Angled End
53569,Greenwood Cabinets & Stone Inc,932774,1.7,1,ICN34536664,W2739,"Wall Cab. 27""x39"""
53569,Greenwood Cabinets & Stone Inc,932774,1.8,1,ICN34536666,W3921-24,"Wall Cab. 39""x21""x24"""
53569,Greenwood Cabinets & Stone Inc,932774,1.9,1,ICN34536667,TPO3693,Standard Tall Cab.w/ 4 Pull Out Trays
53569,Greenwood Cabinets & Stone Inc,932774,1.10,1,ICN34536668,B3D27,"Base Three Drawer Cabinet 27"""
53569,Greenwood Cabinets & Stone Inc,932774,1.11,1,CON10571689,LOOSE DOOR NR,"Loose Door - not routed for hinges - Width = 24.875,Height = 30.25"
53569,Greenwood Cabinets & Stone Inc,932774,1.12,1,CON10571682,BOL6,"Base Overlay 5-7/8"" x 30-1/4"""
53569,Greenwood Cabinets & Stone Inc,932774,1.13,1,ICN34536656,TEP93-28,"Tall End Panel 93"" (27-7/8"" Deep)"
53569,Greenwood Cabinets & Stone Inc,932774,1.14,1,ICN34536655,TEP93-13,"Tall End Panel 93"" (12-7/8"" Deep)"
53569,Greenwood Cabinets & Stone Inc,932774,1.15,2,CON10571690,SCRIBE,"Scribe Molding 96"""
53569,Greenwood Cabinets & Stone Inc,932774,1.16,4,CON10571686,FL-LIGHT RAIL,"FL Light Rail Molding 96"""
53569,Greenwood Cabinets & Stone Inc,932774,1.17,4,CON10571687,LIGHT RAIL MP,Light Rail MP
53569,Greenwood Cabinets & Stone Inc,932774,1.18,4,CON10571683,CROWN,"Crown Molding 96"""
53569,Greenwood Cabinets & Stone Inc,932774,1.19,1,CON10571685,FINTK,Finished Veneer Toe Kick 8'
53569,Greenwood Cabinets & Stone Inc,932774,1.20,1,CON10571695,TOUCH UP KIT,Finish Touch-up Kit
53569,Greenwood Cabinets & Stone Inc,932774,1.21,2,ICN34536669,WO3657,Open Cabinet w/ Matching Interior
53569,Greenwood Cabinets & Stone Inc,932774,1.21,2,ICN34536670,WO3657,Open Cabinet w/ Matching Interior
53569,Greenwood Cabinets & Stone Inc,932774,1.22,1,ICN34536671,BFH36-12,"Base Cab. Full Height 36"" 2 Doors"
53569,Greenwood Cabinets & Stone Inc,932774,1.23,1,ICN34536672,BFH36-12,"Base Cab. Full Height 36"" 2 Doors"
53569,Greenwood Cabinets & Stone Inc,932774,1.24,1,CON10571693,TF393,"Tall Filler 3"" x 93"""
53569,Greenwood Cabinets & Stone Inc,932774,1.25,1,CON10571694,TOL696,"Tall Overlay 5-7/8"" x 95-3/4"""
53569,Greenwood Cabinets & Stone Inc,932774,1.26,1,CON10571684,CROWN RISER MP,Crown Riser Molding MP
53569,Greenwood Cabinets & Stone Inc,932774,1.27,1,ICN34536660,WOOD TOP-1 1/2,"Wood Top - Width = 73.5,Depth = 13.0"
53569,Greenwood Cabinets & Stone Inc,932776,1.1,1,ICN34536732,VSBTDAH45,Vanity Sink Centered w/2 Top Dwrs
53569,Greenwood Cabinets & Stone Inc,932776,1.2,1,ICN34536737,VSBTDAH45,Vanity Sink Centered w/2 Top Dwrs
53569,Greenwood Cabinets & Stone Inc,932776,1.3,3,CON10571715,BF3,"Base Filler 3""X30 1/2"""
53569,Greenwood Cabinets & Stone Inc,932776,1.4,4,CON10571717,FINTK,Finished Veneer Toe Kick 8'
53569,Greenwood Cabinets & Stone Inc,932776,1.5,1,CON10571718,TOUCH UP KIT,Finish Touch-up Kit
53569,Greenwood Cabinets & Stone Inc,932776,1.6,1,ICN34536738,BPO18L,"Base Cab. 18"" 1 Drawer + 1 Door+ 2 POT - Left"
53569,Greenwood Cabinets & Stone Inc,932776,1.7,1,ICN34536728,B3D30,"Base Three Drawer Cabinet 30"""
53569,Greenwood Cabinets & Stone Inc,932776,1.8,1,ICN34536729,BFH12R,"Base Cab. Full Height 12"" 1 Door - Right"
53569,Greenwood Cabinets & Stone Inc,932776,1.9,1,ICN34536730,BSCSS36L,Base Square Corner Cab w/ Wood Super Susans
53569,Greenwood Cabinets & Stone Inc,932776,1.10,1,ICN34536731,BC18WTR-SC,Base w/SC Trash Rollout
53569,Greenwood Cabinets & Stone Inc,932776,1.11,1,ICN34536733,BS33,"Base Sink Cab. 33"""
53569,Greenwood Cabinets & Stone Inc,932776,1.12,1,ICN34536734,B4D18,"Base Four Drawer Cabinet 18"""
53569,Greenwood Cabinets & Stone Inc,932776,1.13,1,ICN34536735,BM24,"Base Microwave w/Drawer - TRH = 1.5,OH = 14.875,BRH = 1.0625"
53569,Greenwood Cabinets & Stone Inc,932776,1.14,1,ICN34536736,BAE24,Base Angled End
53569,Greenwood Cabinets & Stone Inc,932776,1.15,3,CON10571716,BOL3,"Base Overlay 2-7/8"" x 30-1/4"""
53569,Greenwood Cabinets & Stone Inc,932778,1.1,3,CON10571737,BF3,"Base Filler 3""X30 1/2"""
53569,Greenwood Cabinets & Stone Inc,932778,1.2,3,CON10571742,WF336,"Wall Filler 3"" x 36"""
53569,Greenwood Cabinets & Stone Inc,932778,1.3,1,ICN34536808,W3036,"Wall Cab. 30""x36"""
53569,Greenwood Cabinets & Stone Inc,932778,1.4,1,ICN34536809,BKD30,"Base Knee Drawer 30"""
53569,Greenwood Cabinets & Stone Inc,932778,1.5,1,CON10571738,CROWN,"Crown Molding 96"""
53569,Greenwood Cabinets & Stone Inc,932778,1.6,1,CON10571740,FL-LIGHT RAIL,"FL Light Rail Molding 96"""
53569,Greenwood Cabinets & Stone Inc,932778,1.7,1,CON10571741,TOUCH UP KIT,Finish Touch-up Kit
53569,Greenwood Cabinets & Stone Inc,932778,1.8,1,CON10571739,FINTK,Finished Veneer Toe Kick 8'
53569,Greenwood Cabinets & Stone Inc,932778,1.9,2,ICN34536803,BS24,"Base Sink Cab. 24"""
53569,Greenwood Cabinets & Stone Inc,932778,1.9,2,ICN34536804,BS24,"Base Sink Cab. 24"""
53569,Greenwood Cabinets & Stone Inc,932778,1.10,3,ICN34536805,B4D12,"Base Four Drawer Cabinet 12"""
53569,Greenwood Cabinets & Stone Inc,932778,1.10,3,ICN34536806,B4D12,"Base Four Drawer Cabinet 12"""
53569,Greenwood Cabinets & Stone Inc,932778,1.10,3,ICN34536807,B4D12,"Base Four Drawer Cabinet 12"""
53569,Caruso Kitchens,933184,1.1,1,CON10575868,FINTK,Finished Veneer Toe Kick 8'
53569,Caruso Kitchens,933184,1.2,1,CON10575869,SCRIBE,"Scribe Molding 96"""
53569,Caruso Kitchens,933184,1.3,2,CON10575870,TOUCH UP KIT,Finish Touch-up Kit
53569,Caruso Kitchens,933184,1.4,1,ICN34549238,VSD3DAH48,Vanity Sink w/ Two 3 Drawer Stacks
53569,Caruso Kitchens,933185,1.1,1,CON10575876,BC1.534.5-25,"Base Column 1.5"" x 34-1/2"" (24-7/8"" Deep)"
53569,Caruso Kitchens,933185,1.2,1,ICN34549251,B3D30,"Base Three Drawer Cabinet 30"""
53569,Caruso Kitchens,933185,1.3,1,ICN34549252,BC18WTR-SC,Base w/SC Trash Rollout
53569,Caruso Kitchens,933185,1.4,1,ICN34549253,B3D30,"Base Three Drawer Cabinet 30"""
53569,Caruso Kitchens,933185,1.5,1,ICN34549254,BPO24,"Base Cab. 24"" 1 Drawer + 2 Doors+ 2 POT"
53569,Caruso Kitchens,933185,1.6,1,CON10575877,BFEP3-25L,"Base Filler End Panel 3"" x 34-1/2"" L (24-7/8"" D)"
53569,Caruso Kitchens,933185,1.7,2,CON10575878,FINTK,Finished Veneer Toe Kick 8'
53569,Caruso Kitchens,933185,1.8,2,CON10575879,SCRIBE,"Scribe Molding 96"""
53569,Caruso Kitchens,933185,1.9,2,CON10575880,TOUCH UP KIT,Finish Touch-up Kit
53569,Caruso Kitchens,933245,1.1,2,CON10577464,WF666,"Wall Filler 6"" x 66"""
53569,Caruso Kitchens,933245,1.2,2,CON10577465,WOL366,"Wall Overlay 2-7/8"" x 65-3/4"""
53569,Caruso Kitchens,933245,1.3,1,ICN34554840,WSD3666,Wall Stacked Door Cabinet
53569,Caruso Kitchens,933245,1.4,3,CON10577455,FS-FINFRONTFINB,Floating Shelf - Length = 72
53569,Caruso Kitchens,933245,1.5,1,ICN34554842,WSD3666,Wall Stacked Door Cabinet
53569,Caruso Kitchens,933245,1.6,2,CON10577452,CROWN RISER MP,Crown Riser Molding MP
53569,Caruso Kitchens,933245,1.7,2,CON10577453,FIN SHELVING,"Finished Shelf Material (per square foot) - Width = 84,Depth = 12"
53569,Caruso Kitchens,933245,1.8,2,CON10577457,LARGECOVECROWN,"Large Cove Crown Molding 96"""
53569,Caruso Kitchens,933245,1.9,2,CON10577451,BF3,"Base Filler 3""X30 1/2"""
53569,Caruso Kitchens,933245,1.10,2,CON10577463,VOL3,"Vanity Overlay 2-7/8"" x 28-1/4"""
53569,Caruso Kitchens,933245,1.11,1,ICN34554836,BPO36-2TD,"Base Cab. 36"" 2 Drawer + 2 Doors+ 2 POT"
53569,Caruso Kitchens,933245,1.12,1,ICN34554837,B2DF18,Double File Drawer
53569,Caruso Kitchens,933245,1.12.1,2,CON10577458,RAS-SMFD-52,Small File Dwr System
53569,Caruso Kitchens,933245,1.13,1,ICN34554838,B2DF18,Double File Drawer
53569,Caruso Kitchens,933245,1.13.1,2,CON10577459,RAS-SMFD-52,Small File Dwr System
53569,Caruso Kitchens,933245,1.14,1,ICN34554839,BPO36-2TD,"Base Cab. 36"" 2 Drawer + 2 Doors+ 2 POT"
53569,Caruso Kitchens,933245,1.15,2,CON10577456,FURN5119,Furniture 5119 Style Molding
53569,Caruso Kitchens,933245,1.16,4,CON10577460,SCRIBE,"Scribe Molding 96"""
53569,Caruso Kitchens,933245,1.17,2,CON10577461,TOUCH UP KIT,Finish Touch-up Kit
53569,Caruso Kitchens,933245,1.18,1,CON10577462,TRICORNPAINTCAN,Spray Can Of Paint
53569,Caruso Kitchens,933245,1.19,1,ICN34554841,B2D36,"Base Two Drawer Cabinet 36"""
53569,Caruso Kitchens,933245,1.20,1,CON10577454,FINTK,Finished Veneer Toe Kick 8'
53569,Caruso Kitchens,933246,1.1,2,CON10577483,WF342,"Wall Filler 3"" x 42"""
53569,Caruso Kitchens,933246,1.2,4,CON10577482,VOL3,"Vanity Overlay 2-7/8"" x 28-1/4"""
53569,Caruso Kitchens,933246,1.3,1,ICN34554884,WOOD TOP-1 1/2,"Wood Top - Width = 51,Depth = 20"
53569,Caruso Kitchens,933246,1.4,1,ICN34554885,WOOD TOP-1 1/2,"Wood Top - Width = 51,Depth = 20"
53569,Caruso Kitchens,933246,1.5,2,CON10577481,TOUCH UP KIT,Finish Touch-up Kit
53569,Caruso Kitchens,933246,1.6,1,ICN34554886,VFHWH18L,"Wall Hung Vanity [24"" H]"
53569,Caruso Kitchens,933246,1.7,1,ICN34554887,VFHWH30,"Wall Hung Vanity [24"" H]"
53569,Caruso Kitchens,933246,1.8,1,ICN34554888,VFHWH30,"Wall Hung Vanity [24"" H]"
53569,Caruso Kitchens,933246,1.9,1,ICN34554889,VFHWH18R,"Wall Hung Vanity [24"" H]"
53569,Caruso Kitchens,933246,1.10,2,CON10577479,LIGHT RAIL MP,Light Rail MP
53569,Caruso Kitchens,933246,1.11,1,CON10577480,PEWTERPAINTCAN,Spray Paint Can
53569,Caruso Kitchens,933575,1.1,1,ICN34569995,BBSD42-2D-21,Base Bench Seat Drawer Cabinet
53569,Caruso Kitchens,933575,1.2,1,ICN34569994,WOOD TOP-1 1/2,"Wood Top - Width = 47,Depth = 24"
53569,Caruso Kitchens,933575,1.3,1,CON10582195,FURN5119,Furniture 5119 Style Molding
53569,Caruso Kitchens,933575,1.4,1,CON10582194,FS-FINFRONT,Floating Shelf - Length = 47
53569,Caruso Kitchens,933575,1.5,1,CON10582196,WF642,"Wall Filler 6"" x 42"""
